campaign_id,date,channel,campaign_type,region,impressions,clicks,leads,conversions,cost,revenue
c001,2026-03-01,Search,Brand,East,12000,820,96,31,3600,12800
c002,2026-03-01,Social,Video,South,18000,940,88,22,4200,8900
c003,2026-03-02,Display,Banner,North,25000,510,47,12,2600,3900
c004,2026-03-02,Referral,Partner,East,5200,390,64,24,1200,7600
c005,2026-03-03,Search,Generic,West,15000,760,82,28,3900,11300
c006,2026-03-03,Social,Image,South,21000,1010,93,25,4500,9600
c007,2026-03-04,Display,Banner,North,27000,530,45,11,2800,3500
c008,2026-03-04,Referral,Partner,East,6100,430,71,29,1400,9200
c009,2026-03-05,Search,Brand,East,13200,880,104,36,3700,14500
c010,2026-03-05,Social,Video,West,19500,990,91,23,4400,8700
c011,2026-03-06,Display,Retargeting,South,16000,690,78,27,3100,10400
c012,2026-03-06,Referral,Partner,North,4800,350,59,20,1100,6400
c013,2026-03-07,Search,Generic,East,14800,790,86,30,4000,12100
c014,2026-03-07,Social,Image,South,22000,1050,98,26,4700,9800
c015,2026-03-08,Display,Retargeting,West,17000,720,81,29,3200,11200
c016,2026-03-08,Referral,Partner,East,6500,470,74,31,1500,10100
c017,2026-03-09,Search,Brand,North,12500,830,101,34,3600,13600
c018,2026-03-09,Social,Video,South,20500,1025,96,27,4550,9900
c019,2026-03-10,Display,Banner,West,24000,500,42,10,2500,3300
c020,2026-03-10,Referral,Partner,East,7000,500,80,34,1600,11000
